,Event,Event_encode
149992,Taekwondo Men's Heavyweight,309
95581,Taekwondo Men's Welterweight,310
66229,Taekwondo Women's Featherweight,311
26268,Taekwondo Women's Flyweight,312
65394,Taekwondo Women's Heavyweight,313
150112,Taekwondo Women's Welterweight,314
36686,Tennis Men's Doubles,315
93542,Tennis Men's Singles,316
157093,Tennis Mixed Doubles,317
155356,Tennis Women's Doubles,318
153463,Tennis Women's Singles,319
119919,Trampolining Men's Individual,320
126995,Trampolining Women's Individual,321
140799,Triathlon Men's Olympic Distance,322
121027,Triathlon Women's Olympic Distance,323
63533,Volleyball Men's Volleyball,324
77155,Volleyball Women's Volleyball,325
5080,Water Polo Men's Water Polo,326
59323,Water Polo Women's Water Polo,327
149699,Weightlifting Men's Bantamweight,328
51435,Weightlifting Men's Featherweight,329
70733,Weightlifting Men's Flyweight,330
59811,Weightlifting Men's Heavyweight,331
145853,Weightlifting Men's Heavyweight I,332
147769,Weightlifting Men's Heavyweight II,333
75021,Weightlifting Men's Light-Heavyweight,334
50581,Weightlifting Men's Lightweight,335
75330,Weightlifting Men's Middle-Heavyweight,336
55403,Weightlifting Men's Middleweight,337
141551,Weightlifting Men's Super-Heavyweight,338
59265,Weightlifting Women's Featherweight,339
143617,Weightlifting Women's Flyweight,340
94986,Weightlifting Women's Heavyweight,341
94918,Weightlifting Women's Light-Heavyweight,342
87553,Weightlifting Women's Lightweight,343
124460,Weightlifting Women's Middleweight,344
4763,Weightlifting Women's Super-Heavyweight,345
94290,"Wrestling Men's Bantamweight, Freestyle",346
115291,"Wrestling Men's Bantamweight, Greco-Roman",347
37590,"Wrestling Men's Featherweight, Freestyle",348
122606,"Wrestling Men's Featherweight, Greco-Roman",349
94495,"Wrestling Men's Flyweight, Freestyle",350
86817,"Wrestling Men's Flyweight, Greco-Roman",351
15848,"Wrestling Men's Heavyweight, Freestyle",352
63309,"Wrestling Men's Heavyweight, Greco-Roman",353
133538,"Wrestling Men's Light-Flyweight, Freestyle",354
142082,"Wrestling Men's Light-Flyweight, Greco-Roman",355
82542,"Wrestling Men's Light-Heavyweight, Freestyle",356
4827,"Wrestling Men's Light-Heavyweight, Greco-Roman",357
121290,"Wrestling Men's Lightweight, Freestyle",358
